body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.004291,0.015926,-0.022100
0.006437,0.023889,-0.033149
0.019779,0.073406,-0.101859
0.024460,0.090780,-0.125967
0.033823,0.125528,-0.174184
0.043654,0.162013,-0.224812
0.048569,0.180256,-0.250126
0.064018,0.237590,-0.329684
0.069401,0.257569,-0.357407
0.080169,0.297531,-0.412859
0.092988,0.334758,-0.454065
0.099414,0.353364,-0.474675
0.147810,0.334471,-0.255466
0.155660,0.352235,-0.269034
0.171363,0.387769,-0.296174
0.162440,0.369031,-0.263941
0.158014,0.359650,-0.247826
0.123960,0.285119,-0.148545
0.131533,0.288308,-0.139593
0.146741,0.294644,-0.121725
0.164565,0.295096,-0.092281
0.173521,0.295290,-0.077586
0.183707,0.305839,-0.072159
0.168487,0.308174,-0.058247
0.138135,0.312815,-0.030323
0.088180,0.343919,0.034426
0.063310,0.359435,0.066900
0.077377,0.606104,0.241478
0.095843,0.558363,0.246173
0.133064,0.462974,0.255270
0.240576,0.687993,0.371875
0.294317,0.800570,0.430082
0.235645,0.959667,0.117851
0.186853,0.836475,0.081541
0.088867,0.590169,0.009282
0.144457,0.709687,0.084550
0.172469,0.769423,0.122072
0.016611,0.582121,-0.070630
0.001291,0.630893,-0.066598
-0.029234,0.728473,-0.058341
0.091510,0.740072,0.116077
0.152520,0.745873,0.202842
0.069889,0.456078,0.137088
0.100258,0.494024,0.153506
0.161042,0.569984,0.186123
0.037423,0.583625,0.174458
-0.024430,0.590345,0.168991
-0.098392,0.717532,0.218224
-0.162423,0.741344,0.279334
-0.289719,0.788841,0.402437
-0.344518,0.708734,0.302436
-0.372157,0.668441,0.252776
-0.275785,0.866139,0.394037
-0.257152,0.946831,0.337878
-0.221513,1.108114,0.224817
-0.462765,0.804874,0.148668
-0.583475,0.652930,0.112273
-0.540660,-0.095910,0.644471
-0.470606,-0.067379,0.583093
-0.330758,-0.010080,0.460175
-0.371882,-0.148009,0.357178
-0.392124,-0.217239,0.305909
-0.262912,-0.040806,0.147424
-0.223964,0.184297,0.445696
-0.146988,0.636206,1.041123
-0.519643,-1.092405,0.355691
-0.699154,-1.959104,0.015486
0.002164,-0.477474,0.398794
