body_0_vel_x,body_0_vel_y,body_0_vel_z
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.002127,0.001940,-0.002261
0.003191,0.002910,-0.003392
0.009634,0.008872,-0.010410
0.011685,0.010889,-0.012858
0.015787,0.014924,-0.017755
0.019135,0.018879,-0.022847
0.020809,0.020856,-0.025392
0.023196,0.026385,-0.033281
0.022266,0.027963,-0.035978
0.020406,0.031118,-0.041373
0.012425,0.033378,-0.046919
0.008435,0.034508,-0.049693
-0.006536,0.034670,-0.068855
-0.009893,0.035449,-0.070546
-0.016607,0.037008,-0.073928
-0.020588,0.045160,-0.044702
-0.022579,0.049236,-0.030088
-0.035642,0.064829,-0.011402
-0.037788,0.072840,-0.008307
-0.042079,0.088863,-0.002116
-0.045488,0.109384,-0.000711
-0.047193,0.119644,-0.000008
-0.046882,0.098218,-0.005770
-0.034946,0.104311,-0.006135
-0.011074,0.116497,-0.006866
0.022596,0.149935,-0.005731
0.039432,0.166654,-0.005164
0.204337,0.218493,-0.025896
0.219474,0.215953,-0.023262
0.249748,0.210874,-0.017993
0.271777,0.208963,-0.011828
0.282791,0.208008,-0.008746
0.280902,0.166877,0.003251
0.175111,0.158747,0.023687
-0.036471,0.142487,0.064561
-0.133193,0.086992,0.115059
-0.181553,0.059245,0.140308
-0.315678,-0.000396,0.128043
-0.338697,-0.007011,0.129330
-0.384736,-0.020241,0.131902
-0.307827,-0.018110,0.057760
-0.269372,-0.017045,0.020689
-0.215528,-0.084589,0.017005
-0.192821,-0.080160,0.018813
-0.147407,-0.071303,0.022429
-0.120409,-0.029057,0.004372
-0.106909,-0.007935,-0.004656
-0.163457,-0.058289,0.055511
-0.172713,-0.068015,0.068803
-0.191224,-0.087465,0.095388
-0.274723,-0.022521,0.136284
-0.316472,0.009951,0.156732
-0.407939,-0.021685,0.203692
-0.411322,-0.006491,0.225751
-0.418088,0.023897,0.269870
-0.299318,-0.050139,0.355650
-0.239933,-0.087157,0.398540
-0.421286,-0.017907,0.296738
-0.416622,-0.040919,0.278788
-0.407295,-0.086943,0.242887
-0.490851,0.097904,0.244085
-0.532630,0.190328,0.244684
-0.513790,0.097179,0.238044
-0.508924,0.140293,0.154002
-0.499191,0.226521,-0.014083
