body_0_x,body_0_y,body_0_z
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000000,0.000000,0.657146
0.000043,0.000039,0.657101
0.000106,0.000097,0.657033
0.000299,0.000274,0.656825
0.000533,0.000492,0.656567
0.000848,0.000791,0.656212
0.001231,0.001168,0.655755
0.001647,0.001585,0.655248
0.002111,0.002113,0.654582
0.002557,0.002672,0.653862
0.002965,0.003295,0.653035
0.003213,0.003962,0.652097
0.003382,0.004652,0.651103
0.003251,0.005346,0.649726
0.003053,0.006055,0.648315
0.002721,0.006795,0.646836
0.002309,0.007698,0.645942
0.001858,0.008683,0.645340
0.001145,0.009979,0.645112
0.000389,0.011436,0.644946
-0.000452,0.013214,0.644904
-0.001362,0.015401,0.644890
-0.002306,0.017794,0.644889
-0.003244,0.019758,0.644774
-0.003943,0.021845,0.644651
-0.004164,0.024175,0.644514
-0.003712,0.027173,0.644399
-0.002923,0.030506,0.644296
0.001163,0.034876,0.643778
0.005553,0.039195,0.643313
0.010548,0.043413,0.642953
0.015983,0.047592,0.642717
0.021639,0.051752,0.642542
0.027257,0.055090,0.642607
0.030759,0.058265,0.643080
0.030030,0.061114,0.644372
0.027366,0.062854,0.646673
0.023735,0.064039,0.649479
0.017421,0.064031,0.652040
0.010648,0.063891,0.654626
0.002953,0.063486,0.657264
-0.003204,0.063124,0.658420
-0.008591,0.062783,0.658833
-0.012902,0.061091,0.659174
-0.016758,0.059488,0.659550
-0.019706,0.058062,0.659998
-0.022114,0.057481,0.660086
-0.024253,0.057322,0.659993
-0.027522,0.056156,0.661103
-0.030976,0.054796,0.662479
-0.034801,0.053047,0.664387
-0.040295,0.052596,0.667112
-0.046624,0.052795,0.670247
-0.054783,0.052362,0.674321
-0.063010,0.052232,0.678836
-0.071371,0.052710,0.684233
-0.077358,0.051707,0.691346
-0.082156,0.049964,0.699317
-0.090582,0.049606,0.705252
-0.098915,0.048787,0.710828
-0.107060,0.047049,0.715685
-0.116878,0.049007,0.720567
-0.127530,0.052813,0.725461
-0.137806,0.054757,0.730222
-0.147984,0.057563,0.733302
-0.157968,0.062093,0.733020
-0.168160,0.065897,0.737425
-0.178456,0.069337,0.744172
-0.190055,0.071024,0.745544
-0.201821,0.072764,0.747372
-0.213919,0.074608,0.750113
-0.226341,0.076402,0.750229
-0.238925,0.078171,0.749034
-0.251850,0.079448,0.748707
-0.264402,0.080652,0.747913
-0.276208,0.081707,0.746185
-0.287457,0.082963,0.744123
-0.298426,0.084318,0.741895
-0.308842,0.085057,0.739191
-0.318559,0.085587,0.736475
-0.326879,0.085699,0.733734
-0.333777,0.085060,0.730895
-0.339965,0.084047,0.728008
-0.343462,0.083482,0.726336
-0.346815,0.082121,0.724464
-0.349880,0.079167,0.722191
-0.347857,0.076620,0.722095
-0.343289,0.074278,0.723087
-0.340737,0.070241,0.721776
-0.337642,0.066227,0.721780
-0.333462,0.062257,0.724414
-0.330917,0.058076,0.727215
-0.329190,0.053790,0.730098
-0.332218,0.053058,0.735318
-0.336104,0.052464,0.740435
-0.341707,0.052143,0.745349
-0.345757,0.051423,0.750571
-0.349031,0.050504,0.755947
-0.356271,0.048862,0.760511
-0.363344,0.047124,0.765309
-0.370081,0.045193,0.770577
-0.376053,0.044317,0.774616
-0.381641,0.043969,0.778040
-0.384875,0.042195,0.781332
-0.388464,0.040536,0.784380
-0.392763,0.039105,0.786937
-0.395705,0.034263,0.789719
-0.397969,0.027716,0.792613
-0.401708,0.018131,0.793145
-0.404918,0.010383,0.792155
