body_0_w,body_0_x,body_0_y,body_0_z
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.278891,-0.103810,0.013511,-0.954600
-0.279100,-0.103971,0.013530,-0.954521
-0.279413,-0.104213,0.013560,-0.954403
-0.280374,-0.104955,0.013649,-0.954038
-0.281562,-0.105872,0.013760,-0.953585
-0.283204,-0.107140,0.013914,-0.952955
-0.285321,-0.108776,0.014112,-0.952135
-0.287674,-0.110595,0.014332,-0.951214
-0.290771,-0.112991,0.014622,-0.949985
-0.294122,-0.115586,0.014936,-0.948635
-0.297987,-0.118581,0.015298,-0.947052
-0.302223,-0.121957,0.015720,-0.945273
-0.306639,-0.125521,0.016170,-0.943375
-0.308914,-0.129087,0.016859,-0.942138
-0.311304,-0.132840,0.017585,-0.940816
-0.313927,-0.136967,0.018383,-0.939336
-0.316248,-0.140894,0.019112,-0.937961
-0.318415,-0.144718,0.019806,-0.936630
-0.319682,-0.147753,0.020274,-0.935715
-0.320850,-0.150842,0.020789,-0.934810
-0.321826,-0.154041,0.021399,-0.933939
-0.322495,-0.157306,0.022128,-0.933146
-0.323010,-0.160603,0.022917,-0.932387
-0.323455,-0.164030,0.023758,-0.931615
-0.323793,-0.167431,0.024426,-0.930875
-0.323918,-0.170782,0.024749,-0.930214
-0.323531,-0.174274,0.024397,-0.929710
-0.322884,-0.177836,0.023706,-0.929278
-0.320639,-0.183772,0.022038,-0.928942
-0.318293,-0.189317,0.020685,-0.928666
-0.315761,-0.194090,0.019963,-0.928561
-0.311968,-0.201305,0.019303,-0.928321
-0.307523,-0.209729,0.018671,-0.927952
-0.306100,-0.219371,0.017658,-0.926212
-0.305071,-0.227697,0.016649,-0.924559
-0.304875,-0.233422,0.015648,-0.923212
-0.303861,-0.240421,0.014621,-0.921766
-0.302424,-0.248047,0.013578,-0.920233
-0.303106,-0.253441,0.012146,-0.918557
-0.303785,-0.259227,0.010414,-0.916738
-0.304463,-0.265803,0.008084,-0.914650
-0.303210,-0.272852,0.006359,-0.913003
-0.300980,-0.280129,0.004936,-0.911545
-0.299553,-0.284500,0.003816,-0.910666
-0.297885,-0.289302,0.002813,-0.909704
-0.295736,-0.294966,0.002041,-0.908587
-0.294047,-0.300378,0.000141,-0.907364
-0.292582,-0.305657,-0.002324,-0.906071
-0.290881,-0.311857,-0.005982,-0.904488
-0.288807,-0.318063,-0.010479,-0.902949
-0.285999,-0.324293,-0.016652,-0.901533
-0.284262,-0.329635,-0.022766,-0.900010
-0.283052,-0.334525,-0.028848,-0.898411
-0.280171,-0.341396,-0.035094,-0.896505
-0.277672,-0.349027,-0.041203,-0.894081
-0.275960,-0.358203,-0.047043,-0.890687
-0.275903,-0.364009,-0.053916,-0.887957
-0.276667,-0.368122,-0.061305,-0.885541
-0.272999,-0.365369,-0.068198,-0.887314
-0.269583,-0.363078,-0.074318,-0.888806
-0.266697,-0.361749,-0.078900,-0.889823
-0.264977,-0.359153,-0.083106,-0.891005
-0.263836,-0.355919,-0.087121,-0.892257
-0.263491,-0.354731,-0.089884,-0.892558
-0.260138,-0.355381,-0.093948,-0.892864
-0.250747,-0.359674,-0.100608,-0.893106
-0.250519,-0.348228,-0.103782,-0.897333
-0.254793,-0.328805,-0.105179,-0.903274
-0.251681,-0.324072,-0.105252,-0.905845
-0.247241,-0.318462,-0.104362,-0.909155
-0.240140,-0.311088,-0.101545,-0.913918
-0.234238,-0.307141,-0.098218,-0.917142
-0.228938,-0.304907,-0.094636,-0.919599
-0.221365,-0.301011,-0.088843,-0.923307
-0.214125,-0.297306,-0.082763,-0.926774
-0.207578,-0.294022,-0.076121,-0.929875
-0.201275,-0.291842,-0.070705,-0.932372
-0.195090,-0.290208,-0.065901,-0.934546
-0.182960,-0.291549,-0.060149,-0.936967
-0.172068,-0.293159,-0.054812,-0.938854
-0.163694,-0.295378,-0.050323,-0.939906
-0.151946,-0.299001,-0.045043,-0.941001
-0.138485,-0.303278,-0.039361,-0.941964
-0.125459,-0.308902,-0.034026,-0.942169
