body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.012724,-0.196376,-0.195126
0.013090,-0.162882,-0.144578
0.013753,-0.095908,-0.043473
-0.000793,-0.111659,0.017649
-0.008098,-0.119536,0.048203
-0.022727,-0.066871,0.110743
-0.030302,-0.049674,0.125230
-0.045510,-0.015290,0.154185
-0.067952,0.023310,0.152397
-0.079203,0.042593,0.151493
-0.161832,0.339833,0.232214
-0.149833,0.428622,0.154230
-0.126779,0.606012,-0.002102
-0.091201,0.697763,0.005232
-0.073391,0.743651,0.008733
-0.109402,0.899544,0.174434
-0.084420,0.810055,0.171218
-0.034205,0.631178,0.164536
-0.027195,0.430382,0.213028
-0.023372,0.330004,0.237287
0.036661,-0.198048,0.219889
0.022750,-0.264880,0.219032
-0.004776,-0.398607,0.217216
0.002831,-0.353169,0.206259
0.006607,-0.330444,0.200795
-0.029119,-0.186004,0.150059
-0.010225,-0.174293,0.095593
0.027729,-0.150847,-0.013276
0.033955,-0.088190,-0.068360
0.037114,-0.056854,-0.095889
0.035454,-0.031280,-0.099239
0.035560,-0.017146,-0.080872
0.035788,0.011109,-0.044127
0.035014,0.006437,-0.073829
0.034624,0.004107,-0.088681
0.019229,0.027672,-0.038352
0.008918,0.023537,-0.028185
-0.011700,0.015270,-0.007847
-0.010167,0.008248,0.003922
-0.009400,0.004738,0.009807
-0.005522,-0.014970,0.006347
-0.009029,-0.023204,0.013923
-0.016044,-0.039670,0.029074
-0.013673,-0.073849,0.026267
-0.012482,-0.090939,0.024866
-0.016073,-0.126915,0.025667
-0.018931,-0.101643,0.043892
-0.024707,-0.051096,0.080327
-0.018019,0.018969,0.039856
-0.014694,0.053999,0.019613
-0.001521,0.165485,-0.124439
0.005487,0.199324,-0.165950
0.019448,0.266984,-0.248998
0.062572,0.151216,-0.315976
0.083900,0.093285,-0.349534
0.053277,-0.182555,-0.283933
0.075795,-0.130220,-0.310233
0.121225,-0.025651,-0.362696
0.039961,-0.091548,-0.182184
-0.000814,-0.124459,-0.091979
-0.046409,-0.412393,0.060193
-0.026541,-0.483255,0.127905
0.012721,-0.624903,0.263561
0.055236,-0.483187,0.295390
0.076207,-0.412281,0.311449
0.080765,-0.303692,0.038012
0.074541,-0.277983,-0.012913
0.062383,-0.226487,-0.114758
0.046845,-0.173319,-0.163318
0.039162,-0.146712,-0.187598
0.010300,-0.054204,-0.015967
0.007622,-0.050934,0.004613
0.002244,-0.044397,0.045773
-0.003620,0.038570,0.037057
-0.006568,0.080053,0.032699
-0.019554,0.077450,-0.006071
-0.025603,0.086792,0.033489
-0.037640,0.105492,0.112614
-0.025981,0.097085,0.061060
-0.020174,0.092878,0.035279
-0.023205,0.085457,0.061331
-0.024900,0.072980,0.049157
-0.028296,0.048019,0.024817
-0.022845,0.046768,0.039996
-0.020115,0.046145,0.047584
0.003934,0.053298,0.025705
-0.006905,0.068003,0.018226
-0.028598,0.097408,0.003281
-0.009638,0.086024,0.040625
-0.000140,0.080338,0.059289
-0.000459,0.085145,-0.024379
-0.004589,0.100673,0.004334
-0.012793,0.131732,0.061767
-0.010014,0.112211,0.011393
-0.008652,0.102448,-0.013795
-0.012056,0.178762,0.014233
-0.012886,0.179978,-0.025671
-0.014689,0.182402,-0.105476
-0.004778,0.210036,-0.095988
0.000201,0.223849,-0.091255
-0.010356,-0.016670,-0.123254
-0.009432,-0.100185,-0.088521
-0.007801,-0.267211,-0.019036
0.040463,-0.341419,-0.103564
0.064701,-0.378532,-0.145760
0.046186,-0.223167,-0.154333
0.029436,-0.176252,-0.044542
-0.004410,-0.082471,0.175007
0.004936,-0.089873,0.079443
0.009654,-0.093568,0.031666
-0.012074,-0.130330,-0.057976
-0.006282,-0.134189,-0.038367
0.005246,-0.141910,0.000868
-0.002636,-0.098669,0.037825
-0.006603,-0.077049,0.056299
-0.010046,-0.075725,-0.021347
-0.001456,-0.078991,-0.012748
0.015711,-0.085524,0.004462
0.009828,-0.065983,0.014249
0.006881,-0.056214,0.019142
0.054533,-0.074367,0.005480
0.062355,-0.104550,-0.026372
0.078048,-0.164879,-0.090096
0.085843,-0.156784,-0.054730
0.089716,-0.152754,-0.037037
0.089383,-0.185772,0.036345
0.080727,-0.195880,0.029508
0.063449,-0.216089,0.015784
0.034345,-0.141185,0.027996
0.019774,-0.103740,0.034094
-0.076241,0.016290,0.140784
-0.114763,0.042612,0.131378
-0.191885,0.095132,0.112539
-0.234395,0.105211,0.200180
-0.255615,0.110310,0.244012
-0.288583,0.095597,0.293896
-0.294514,0.061650,0.289254
-0.306188,-0.006306,0.280182
-0.364905,0.116558,0.217520
-0.394435,0.177812,0.186000
-0.371134,0.513033,0.035164
-0.318185,0.526455,0.073102
-0.211912,0.553630,0.148336
-0.141411,0.425003,0.099361
-0.106203,0.360694,0.074816
0.037053,0.402652,0.094429
0.095096,0.254475,0.196952
0.212288,-0.041845,0.401420
0.139862,0.001134,0.326923
0.103579,0.022557,0.289707
0.233390,0.135400,0.197689
0.235071,0.140487,0.263491
0.238595,0.150362,0.395117
