body_0_vel_x,body_0_vel_y,body_0_vel_z
0.004478,0.042435,0.042545
-0.007267,0.023459,0.023329
-0.030756,-0.014494,-0.015103
0.000319,-0.007714,0.016868
0.015857,-0.004325,0.032853
-0.046227,0.068981,0.001534
-0.042477,0.038547,0.006184
-0.034976,-0.022321,0.015483
-0.058856,0.042070,0.019559
-0.070796,0.074266,0.021597
-0.066655,-0.031596,-0.006316
-0.060415,-0.028185,0.009299
-0.047936,-0.021362,0.040528
-0.048966,-0.028280,0.022613
-0.049481,-0.031739,0.013656
0.003183,-0.127576,0.025145
0.001447,-0.083949,0.020486
-0.002024,0.003305,0.011167
0.016315,-0.016687,-0.002883
0.025485,-0.026684,-0.009908
-0.001423,-0.014894,0.055116
0.019565,0.008204,0.054697
0.061541,0.054399,0.053861
0.044942,0.048764,0.014200
0.036643,0.045946,-0.005631
-0.019813,-0.010352,0.038740
-0.019877,-0.016010,0.030207
-0.020006,-0.027325,0.013141
-0.042899,-0.005142,0.043574
-0.054345,0.005950,0.058790
-0.074937,-0.044954,-0.011480
-0.059597,-0.042162,0.010681
-0.028918,-0.036579,0.055001
-0.038011,-0.023418,0.041364
-0.042558,-0.016838,0.034545
-0.024219,-0.022058,0.006507
-0.015581,-0.022156,0.026644
0.001695,-0.022353,0.066919
-0.013397,0.016297,0.009984
-0.020943,0.035622,-0.018484
-0.022388,0.014045,0.044183
-0.010231,0.012587,0.020567
0.014083,0.009670,-0.026667
0.004141,0.029099,0.021018
-0.000830,0.038814,0.044861
0.035999,0.033404,-0.032932
0.044115,0.037716,-0.002511
0.060346,0.046340,0.058331
0.057986,0.042251,0.017245
0.056806,0.040207,-0.003297
0.090144,0.029235,0.070989
0.064855,0.020222,0.046661
0.014277,0.002196,-0.001996
-0.009928,0.002493,-0.004069
-0.022030,0.002641,-0.005105
-0.183463,0.085690,0.010757
-0.160260,0.073030,0.000221
-0.113854,0.047711,-0.020851
-0.132046,0.136242,0.016044
-0.141141,0.180508,0.034491
-0.019326,0.119868,0.004712
-0.032566,0.136795,0.011653
-0.059044,0.170649,0.025535
-0.005085,0.185223,0.005909
0.021894,0.192511,-0.003904
0.048709,0.103773,0.003648
0.047233,0.111493,0.014393
0.044281,0.126931,0.035883
0.025866,0.113519,-0.002069
0.016658,0.106813,-0.021045
0.019870,0.068950,0.041649
0.013719,0.099778,0.019635
0.001416,0.161432,-0.024394
0.010209,0.078737,0.006381
0.014606,0.037389,0.021769
0.023911,0.129137,-0.004245
0.023689,0.107824,0.002013
0.023246,0.065198,0.014530
0.017428,0.113270,0.005124
0.014520,0.137306,0.000420
-0.005765,0.056893,0.025100
-0.012009,0.075437,0.010372
-0.024498,0.112526,-0.019083
0.002596,0.086742,0.027403
0.016143,0.073851,0.050645
-0.048852,0.123996,-0.038227
-0.025325,0.099976,-0.011421
0.021729,0.051936,0.042191
-0.009937,0.087035,-0.008910
-0.025771,0.104585,-0.034461
0.010235,0.072964,0.034520
0.003974,0.072845,0.010812
-0.008547,0.072607,-0.036603
0.018919,0.096749,0.021114
0.032651,0.108820,0.049973
0.001552,0.050997,-0.027130
0.008705,0.058599,-0.001575
0.023010,0.073804,0.049535
0.014498,0.059511,-0.006635
0.010242,0.052364,-0.034720
-0.009921,0.049292,0.047119
-0.020125,0.051294,0.028318
-0.040534,0.055298,-0.009286
-0.040200,0.043948,0.030113
-0.040033,0.038273,0.049812
-0.093656,0.045535,0.003235
-0.065916,0.035907,0.013853
-0.010436,0.016652,0.035090
-0.021908,0.022473,0.051447
-0.027645,0.025383,0.059626
-0.079279,0.001363,-0.004333
-0.055578,0.003671,0.017870
-0.008175,0.008288,0.062276
