body_0_x,body_0_y,body_0_z
0.000000,0.000000,0.786938
0.000090,0.000849,0.787789
-0.000056,0.001318,0.788256
-0.000671,0.001028,0.787953
-0.000665,0.000874,0.788291
-0.000347,0.000787,0.788948
-0.001272,0.002167,0.788979
-0.002121,0.002938,0.789102
-0.002821,0.002491,0.789412
-0.003998,0.003333,0.789803
-0.005414,0.004818,0.790235
-0.006747,0.004186,0.790109
-0.007955,0.003622,0.790295
-0.008914,0.003195,0.791105
-0.009893,0.002630,0.791558
-0.010883,0.001995,0.791831
-0.010819,-0.000557,0.792334
-0.010790,-0.002236,0.792743
-0.010831,-0.002170,0.792967
-0.010505,-0.002503,0.792909
-0.009995,-0.003037,0.792711
-0.010023,-0.003335,0.793813
-0.009632,-0.003171,0.794907
-0.008401,-0.002083,0.795984
-0.007503,-0.001107,0.796268
-0.006770,-0.000189,0.796156
-0.007166,-0.000396,0.796930
-0.007563,-0.000716,0.797535
-0.007964,-0.001262,0.797797
-0.008822,-0.001365,0.798669
-0.009908,-0.001246,0.799845
-0.011407,-0.002145,0.799615
-0.012599,-0.002988,0.799829
-0.013177,-0.003720,0.800929
-0.013938,-0.004188,0.801756
-0.014789,-0.004525,0.802447
-0.015273,-0.004966,0.802577
-0.015585,-0.005409,0.803110
-0.015551,-0.005856,0.804448
-0.015819,-0.005531,0.804648
-0.016238,-0.004818,0.804278
-0.016685,-0.004537,0.805162
-0.016890,-0.004285,0.805573
-0.016608,-0.004092,0.805040
-0.016526,-0.003510,0.805460
-0.016542,-0.002734,0.806358
-0.015822,-0.002066,0.805699
-0.014940,-0.001311,0.805649
-0.013733,-0.000385,0.806815
-0.012573,0.000460,0.807160
-0.011437,0.001265,0.807094
-0.009634,0.001849,0.808514
-0.008337,0.002254,0.809447
-0.008052,0.002298,0.809407
-0.008250,0.002347,0.809326
-0.008691,0.002400,0.809224
-0.012360,0.004114,0.809439
-0.015565,0.005575,0.809443
-0.017842,0.006529,0.809026
-0.020483,0.009254,0.809347
-0.023306,0.012864,0.810037
-0.023693,0.015261,0.810131
-0.024344,0.017997,0.810364
-0.025525,0.021410,0.810875
-0.025627,0.025115,0.810993
-0.025189,0.028965,0.810915
-0.024215,0.031040,0.810988
-0.023270,0.033270,0.811276
-0.022384,0.035809,0.811994
-0.021867,0.038079,0.811952
-0.021534,0.040215,0.811531
-0.021136,0.041594,0.812364
-0.020862,0.043590,0.812757
-0.020834,0.046819,0.812269
-0.020629,0.048393,0.812397
-0.020337,0.049141,0.812832
-0.019859,0.051724,0.812747
-0.019385,0.053880,0.812788
-0.018920,0.055184,0.813078
-0.018572,0.057450,0.813181
-0.018281,0.060196,0.813189
-0.018397,0.061334,0.813691
-0.018637,0.062842,0.813899
-0.019127,0.065093,0.813517
-0.019075,0.066828,0.814065
-0.018752,0.068305,0.815078
-0.019729,0.070785,0.814313
-0.020236,0.072784,0.814085
-0.019801,0.073823,0.814929
-0.020000,0.075564,0.814751
-0.020515,0.077655,0.814061
-0.020310,0.079115,0.814752
-0.020231,0.080572,0.814968
-0.020402,0.082024,0.814236
-0.020024,0.083959,0.814658
-0.019371,0.086135,0.815658
-0.019340,0.087155,0.815115
-0.019165,0.088327,0.815084
-0.018705,0.089803,0.816074
-0.018415,0.090993,0.815942
-0.018210,0.092041,0.815247
-0.018409,0.093026,0.816190
-0.018811,0.094052,0.816756
-0.019622,0.095158,0.816570
-0.020426,0.096037,0.817172
-0.021227,0.096803,0.818169
-0.023100,0.097713,0.818233
-0.024418,0.098432,0.818510
-0.024627,0.098765,0.819212
-0.025065,0.099214,0.820241
-0.025618,0.099722,0.821434
-0.027203,0.099749,0.821347
-0.028315,0.099822,0.821704
-0.028478,0.099988,0.822950
-0.029506,0.099809,0.823278
-0.030967,0.099457,0.823147
-0.030409,0.099505,0.824545
-0.030459,0.099216,0.825377
-0.031726,0.098254,0.825078
-0.031506,0.097752,0.825785
-0.030541,0.097479,0.826994
-0.031362,0.096343,0.826890
-0.031633,0.095392,0.827283
-0.030800,0.094808,0.828669
-0.030771,0.093333,0.829364
-0.031145,0.091413,0.829714
-0.030240,0.089571,0.831230
-0.029555,0.087404,0.832157
-0.029307,0.084586,0.831903
-0.028907,0.081454,0.832151
-0.028432,0.078167,0.832650
-0.027215,0.074403,0.831725
-0.026124,0.070459,0.830649
-0.025285,0.066153,0.829272
-0.024702,0.060737,0.826542
-0.024248,0.054766,0.823136
-0.023192,0.048363,0.816004
-0.021864,0.041465,0.807754
-0.019993,0.033578,0.797267
-0.017813,0.024439,0.784670
-0.015479,0.014675,0.771017
-0.009173,0.003270,0.752916
-0.002639,-0.009239,0.734392
0.004355,-0.023956,0.715020
0.011146,-0.037760,0.694845
0.017836,-0.051108,0.674268
0.024554,-0.066154,0.651692
0.030240,-0.081361,0.629013
0.033863,-0.096888,0.606130
0.035740,-0.112398,0.585761
0.036745,-0.127899,0.566649
0.034228,-0.140987,0.548733
0.031821,-0.153185,0.532498
0.029633,-0.163603,0.519623
0.029608,-0.172753,0.509902
0.030665,-0.181270,0.501758
0.030039,-0.185551,0.499453
0.030014,-0.189425,0.497842
0.031189,-0.192487,0.497621
0.031866,-0.194884,0.498307
0.032293,-0.196948,0.499448
0.034031,-0.197239,0.501302
0.035541,-0.197762,0.502949
0.036597,-0.198747,0.504180
0.037370,-0.198351,0.505501
0.038000,-0.197264,0.506867
0.039003,-0.197487,0.507539
0.039924,-0.197408,0.507741
0.040678,-0.196724,0.507005
0.041857,-0.196169,0.507071
0.043248,-0.195679,0.507539
0.043770,-0.195130,0.506781
0.044279,-0.194739,0.506029
0.044764,-0.194666,0.505287
0.045928,-0.194319,0.505631
0.047431,-0.193835,0.506517
0.048016,-0.194536,0.507277
0.048801,-0.194965,0.508336
0.049983,-0.194850,0.509993
0.050735,-0.196367,0.512048
0.051271,-0.198700,0.514301
0.052887,-0.200623,0.517850
0.054279,-0.203128,0.521661
0.055223,-0.206796,0.525997
0.055881,-0.210438,0.529974
0.056396,-0.214066,0.533771
0.057675,-0.217346,0.538401
0.058088,-0.220871,0.543011
0.056771,-0.224886,0.547581
0.056805,-0.228702,0.550553
0.057515,-0.232419,0.552725
0.055714,-0.239494,0.554003
0.054585,-0.246785,0.554349
0.054801,-0.254510,0.552833
0.055137,-0.261290,0.550494
0.055532,-0.267598,0.547744
0.055224,-0.271585,0.544275
0.054403,-0.274587,0.540453
