body_0_w,body_0_x,body_0_y,body_0_z
0.002210,0.058480,0.008638,-0.998249
0.000271,0.060457,0.008647,-0.998133
-0.001166,0.062095,0.008690,-0.998032
-0.001600,0.063056,0.008801,-0.997970
-0.001413,0.064169,0.008806,-0.997899
-0.000917,0.065357,0.008758,-0.997823
0.000209,0.066015,0.008604,-0.997782
0.001483,0.066500,0.008384,-0.997750
0.003053,0.066639,0.008033,-0.997740
0.004617,0.066392,0.007457,-0.997755
0.006178,0.065952,0.006769,-0.997781
0.008578,0.062534,0.005328,-0.997992
0.010188,0.058235,0.003966,-0.998243
0.010217,0.052172,0.002761,-0.998582
0.010297,0.045193,0.001924,-0.998923
0.010403,0.037756,0.001272,-0.999232
0.012176,0.028752,0.000338,-0.999512
0.013908,0.020643,-0.000358,-0.999690
0.015562,0.014329,-0.000578,-0.999776
0.017698,0.010023,-0.000753,-0.999793
0.020075,0.006721,-0.000904,-0.999775
0.022269,0.008711,-0.000562,-0.999714
0.024455,0.011365,-0.000375,-0.999636
0.026625,0.015349,-0.000495,-0.999528
0.028684,0.018881,-0.000530,-0.999410
0.030688,0.022186,-0.000520,-0.999283
0.032193,0.024036,-0.000835,-0.999192
0.033149,0.025775,-0.000970,-0.999118
0.033008,0.027292,-0.000747,-0.999082
0.032315,0.028183,-0.000455,-0.999080
0.031346,0.028763,-0.000130,-0.999095
0.030344,0.029086,0.000186,-0.999116
0.029526,0.029269,0.000512,-0.999135
0.029075,0.029168,0.000860,-0.999151
0.028327,0.029115,0.001191,-0.999174
0.027430,0.029085,0.001512,-0.999199
0.027041,0.028814,0.001700,-0.999218
0.026757,0.028582,0.001788,-0.999232
0.026681,0.028426,0.001673,-0.999238
0.026723,0.028341,0.001574,-0.999240
0.026824,0.028291,0.001485,-0.999239
0.026889,0.028439,0.001427,-0.999233
0.027031,0.028668,0.001335,-0.999223
0.027327,0.029060,0.001172,-0.999203
0.027594,0.029794,0.001023,-0.999175
0.027847,0.030699,0.000880,-0.999140
0.028110,0.031962,0.000692,-0.999093
0.028555,0.032972,0.000489,-0.999048
0.029366,0.033475,0.000254,-0.999008
0.029770,0.033280,0.000093,-0.999003
0.029971,0.032736,-0.000032,-0.999015
0.028728,0.031082,-0.000038,-0.999104
0.027068,0.029092,0.000023,-0.999210
0.024574,0.026430,0.000217,-0.999349
0.021400,0.024934,0.000796,-0.999460
0.017884,0.024023,0.001567,-0.999550
0.015036,0.025861,0.001999,-0.999550
0.011918,0.027180,0.002657,-0.999556
0.008260,0.027461,0.003767,-0.999582
0.006432,0.028386,0.004108,-0.999568
0.005518,0.029633,0.004066,-0.999537
0.006150,0.033750,0.003597,-0.999405
0.007454,0.038573,0.003345,-0.999222
0.010104,0.044809,0.003528,-0.998938
0.013047,0.049630,0.004163,-0.998674
0.016136,0.053743,0.005025,-0.998412
0.016487,0.056786,0.005802,-0.998233
0.016332,0.059574,0.006493,-0.998069
0.015164,0.061852,0.007011,-0.997945
0.013518,0.063600,0.007351,-0.997857
0.011632,0.065083,0.007602,-0.997783
0.011470,0.065626,0.007688,-0.997749
0.011515,0.066135,0.007762,-0.997714
0.011973,0.066575,0.007809,-0.997679
0.012342,0.066186,0.007802,-0.997700
0.012667,0.065384,0.007768,-0.997750
0.012613,0.064610,0.007579,-0.997802
0.012957,0.063738,0.007356,-0.997855
0.014097,0.062672,0.007066,-0.997910
0.014716,0.061695,0.006859,-0.997963
