joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.083317,-0.101681,-0.038326,0.014643,-0.025736,0.030825,0.218725,-0.269681,-0.028535,0.180281,0.187334,0.519583,0.479366,-0.204468,-0.121279,0.411097,-0.466934,-0.008962,0.097948,-0.248410,0.243283,0.698420,0.496105,-0.278378,0.399135,-0.050506,-0.017001,-0.429430,0.442265
-0.089720,-0.110873,-0.039063,0.013327,-0.024651,0.031163,0.214813,-0.265723,-0.007334,0.184228,0.199120,0.496990,0.454064,-0.202689,-0.127024,0.415086,-0.473090,-0.007380,0.094500,-0.241863,0.240438,0.719699,0.514022,-0.298835,0.435395,-0.037030,0.002063,-0.481496,0.498418
-0.095671,-0.117788,-0.040170,0.012369,-0.023445,0.031456,0.211554,-0.263273,0.009366,0.188046,0.207094,0.484871,0.439691,-0.200906,-0.129966,0.414425,-0.474367,-0.006508,0.091560,-0.235870,0.237593,0.735812,0.527630,-0.311267,0.460680,-0.026932,0.017018,-0.522154,0.543949
-0.100720,-0.120148,-0.042019,0.012126,-0.021994,0.031659,0.209602,-0.263842,0.017062,0.191608,0.207443,0.493700,0.447177,-0.199116,-0.127301,0.404465,-0.465887,-0.007060,0.089635,-0.230985,0.234744,0.741591,0.532623,-0.307648,0.464011,-0.023591,0.023754,-0.539996,0.568234
-0.105348,-0.121673,-0.043943,0.012036,-0.020521,0.032049,0.207778,-0.264403,0.022588,0.193946,0.206221,0.504143,0.457453,-0.198805,-0.123346,0.395553,-0.458036,-0.008521,0.089146,-0.224945,0.231655,0.749660,0.543450,-0.303205,0.464932,-0.020696,0.030491,-0.558279,0.591954
-0.109765,-0.122780,-0.045906,0.012021,-0.019037,0.032532,0.206019,-0.264961,0.027030,0.195672,0.204213,0.515395,0.469124,-0.199233,-0.118745,0.387165,-0.450501,-0.010439,0.089373,-0.218327,0.228446,0.758873,0.557195,-0.298350,0.464646,-0.018026,0.037230,-0.576783,0.615393
-0.109414,-0.120802,-0.047200,0.012250,-0.016974,0.032758,0.207136,-0.264320,0.028371,0.192636,0.199425,0.526159,0.481442,-0.200287,-0.115407,0.378828,-0.441989,-0.013090,0.090842,-0.207304,0.223095,0.777190,0.583165,-0.291137,0.452769,-0.017880,0.040367,-0.584279,0.625149
-0.108128,-0.117679,-0.047991,0.012308,-0.015159,0.032800,0.208156,-0.264042,0.028676,0.189196,0.193910,0.535053,0.492980,-0.201133,-0.111907,0.371543,-0.434254,-0.016008,0.092006,-0.194043,0.216557,0.800134,0.614055,-0.284538,0.438022,-0.018742,0.041678,-0.587955,0.629466
-0.104974,-0.112265,-0.047777,0.012023,-0.013839,0.032473,0.208979,-0.264492,0.026912,0.184948,0.186943,0.540205,0.502961,-0.201565,-0.108082,0.366362,-0.428072,-0.019456,0.092562,-0.176306,0.207647,0.832329,0.654784,-0.279169,0.417535,-0.021618,0.039338,-0.583992,0.622903
-0.100457,-0.104032,-0.045894,0.011566,-0.013349,0.031264,0.209971,-0.266648,0.023799,0.181134,0.177490,0.538854,0.509879,-0.203373,-0.105232,0.367257,-0.427595,-0.023324,0.092734,-0.150235,0.192639,0.879146,0.708913,-0.273642,0.395089,-0.023977,0.034929,-0.572358,0.605302
