joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-0.320149,-0.459637,-0.036832,-0.065807,0.054237,0.016904,-0.195593,0.197939,1.060066,0.197333,0.589310,-1.129670,-1.265098,0.088952,-0.287270,0.199413,-0.307790,0.079117,-0.172384,0.327325,-0.142210,1.063972,0.895819,-1.022868,1.813024,0.673785,0.953201,-2.603310,2.807680
-0.297579,-0.345751,-0.055363,-0.047915,0.060342,0.014653,-0.162932,0.122481,0.834974,0.190924,0.398690,-0.605966,-0.718630,0.089138,-0.147098,-0.033049,-0.063851,0.043559,-0.146997,0.299645,-0.142285,0.805631,0.680424,-0.621598,1.264214,0.504883,0.747733,-2.032899,2.276531
-0.252439,-0.117979,-0.092425,-0.012132,0.072553,0.010151,-0.097608,-0.028436,0.384789,0.178107,0.017448,0.441442,0.374305,0.089509,0.133246,-0.497974,0.424028,-0.027558,-0.096222,0.244284,-0.142436,0.288949,0.249633,0.180940,0.166595,0.167079,0.336798,-0.892076,1.214234
-0.231397,-0.076240,-0.096234,-0.004523,0.073640,0.019479,-0.091182,-0.028081,0.276330,0.116904,-0.061105,0.522187,0.513794,0.015578,0.197772,-0.445589,0.392515,-0.073095,-0.024497,0.302002,-0.154441,0.403429,0.541362,0.222157,0.046004,0.144714,0.336883,-0.914153,1.186042
-0.220875,-0.055371,-0.098139,-0.000719,0.074184,0.024143,-0.087969,-0.027904,0.222101,0.086302,-0.100382,0.562560,0.583539,-0.021387,0.230036,-0.419397,0.376758,-0.095863,0.011366,0.330862,-0.160443,0.460669,0.687227,0.242765,-0.014292,0.133531,0.336926,-0.925192,1.171947
0.017597,0.098910,-0.064694,0.011445,0.103142,0.011324,0.055869,0.032066,0.067021,-0.151822,-0.239413,0.538219,0.615885,-0.052707,0.166885,-0.416872,0.425605,-0.132583,0.073458,0.551153,-0.267565,0.915871,1.298513,0.360647,-0.593843,0.007284,0.156862,-0.374815,0.487795
0.064295,0.156165,-0.039555,0.002879,0.090764,0.002103,0.050962,0.013881,0.015274,-0.172011,-0.275728,0.444684,0.576931,-0.042334,0.175012,-0.364260,0.386767,-0.145868,0.058223,0.663051,-0.326886,1.147166,1.544491,0.329928,-0.737349,-0.043084,0.065563,-0.183824,0.215816
0.157692,0.270674,0.010722,-0.014252,0.066008,-0.016339,0.041148,-0.022488,-0.088219,-0.212389,-0.348356,0.257614,0.499021,-0.021589,0.191267,-0.259038,0.309092,-0.172438,0.027753,0.886849,-0.445529,1.609758,2.036448,0.268489,-1.024361,-0.143818,-0.117035,0.198158,-0.328143
0.225825,0.411659,0.094150,-0.022808,0.024515,-0.060450,0.049641,-0.107769,-0.155628,-0.190712,-0.472658,-0.067556,0.345917,-0.090380,0.142497,0.044774,0.023859,-0.193395,0.008633,1.303551,-0.750393,2.340877,2.706456,0.276305,-1.122265,-0.117955,-0.220427,0.581685,-0.880014
0.259891,0.482152,0.135864,-0.027086,0.003768,-0.082506,0.053888,-0.150409,-0.189332,-0.179874,-0.534808,-0.230141,0.269365,-0.124775,0.118113,0.196680,-0.118758,-0.203873,-0.000926,1.511902,-0.902824,2.706437,3.041461,0.280213,-1.171217,-0.105024,-0.272122,0.773449,-1.155950
0.394068,0.860900,0.254095,-0.136979,-0.031155,-0.272538,-0.244346,-0.083013,0.033982,0.189632,-0.624073,-2.446522,-1.193806,-0.163845,-0.169173,1.319688,-0.813053,-0.182918,-0.082878,2.651886,-2.274620,5.543316,6.195636,0.248741,-1.074294,-0.620353,-0.711168,4.290898,-3.618599
0.485765,0.888563,0.297698,-0.147505,-0.038079,-0.251402,-0.205464,0.076488,-0.131767,0.212502,-0.517199,-2.829296,-1.788149,-0.132915,-0.208541,2.453647,-1.907418,-0.271222,-0.020945,3.374695,-3.082662,5.983976,7.025893,-0.778040,-0.566465,-0.404015,-0.581428,5.393274,-4.803691
0.669160,0.943889,0.384902,-0.168559,-0.051929,-0.209130,-0.127700,0.395489,-0.463266,0.258243,-0.303452,-3.594842,-2.976836,-0.071054,-0.287278,4.721566,-4.096150,-0.447831,0.102923,4.820314,-4.698747,6.865296,8.686407,-2.831603,0.449195,0.028661,-0.321948,7.598027,-7.173875
0.667478,0.985435,0.329155,-0.080543,-0.232732,-0.121362,0.250226,-0.169123,-0.226577,0.518925,-0.165221,-4.636364,-4.442144,0.162729,-0.185305,6.505129,-5.899627,-0.299402,0.322336,3.772954,-3.511974,4.565685,5.785431,-2.649545,0.826296,0.071590,-0.387024,6.160843,-6.165920
0.666637,1.006208,0.301281,-0.036535,-0.323133,-0.077478,0.439189,-0.451428,-0.108233,0.649267,-0.096106,-5.157125,-5.174798,0.279621,-0.134319,7.396910,-6.801365,-0.225187,0.432043,3.249274,-2.918588,3.415879,4.334943,-2.558516,1.014847,0.093054,-0.419563,5.442251,-5.661942
0.972310,1.046959,0.162336,0.064635,-0.407896,-0.140461,0.823916,-0.569082,-0.372675,0.405538,0.284598,-8.220676,-8.584713,-0.388046,-0.739609,6.586227,-6.745588,0.299706,0.333136,-3.447615,2.901518,-1.467165,-0.054617,1.306494,-0.619032,-1.527871,-1.693523,4.487386,-4.460167
0.983679,0.876941,0.172618,0.063612,-0.323158,-0.104849,0.892202,-0.401651,-0.264739,0.145826,0.312923,-9.493442,-9.817109,-0.420225,-0.752358,5.268915,-5.623403,0.305394,0.245903,-5.368894,4.831395,-2.038277,-0.967869,1.848020,-1.113102,-1.615547,-1.767147,3.929964,-3.842727
1.006418,0.536904,0.193182,0.061568,-0.153683,-0.033624,1.028775,-0.066790,-0.048869,-0.373599,0.369574,-12.038972,-12.281899,-0.484582,-0.777854,2.634290,-3.379033,0.316769,0.071438,-9.211451,8.691147,-3.180503,-2.794372,2.931072,-2.101242,-1.790900,-1.914393,2.815119,-2.607846
0.845958,0.267449,0.290487,0.119476,-0.126241,-0.084552,1.006800,0.118408,-0.153293,-0.422821,0.464264,-11.266803,-11.326048,-0.252254,-0.486447,-0.538975,-0.471182,0.228933,0.076886,-10.256839,10.371497,-5.300592,-5.573157,3.317899,-2.987762,-1.902880,-1.754657,1.473873,-0.881009
0.765728,0.132722,0.339140,0.148429,-0.112520,-0.110016,0.995813,0.211007,-0.205504,-0.447432,0.511609,-10.880719,-10.848123,-0.136089,-0.340743,-2.125608,0.982744,0.185016,0.079610,-10.779533,11.211672,-6.360637,-6.962550,3.511313,-3.431023,-1.958870,-1.674788,0.803250,-0.017590
